word,count
nose,50
puckered,16
vacant,4
wearied,4
grimace,12
legs,101
fell,125
unnatural,31
positions,15
ghost,3
hastily,53
adjusting,4
lorgnette,4
instrument,5
fellow,188
astonished,17
narrator,3
shrugging,13
because,487
hate,16
stories,30
showed,110
meaning,95
uttered,47
hearers,3
sure,68
whether,230
witty,12
stupid,54
darkgreen,3
color,16
cuisse,1
nymphe,1
effraye,1
called,227
silk,16
stockings,14
neatly,6
anecdote,4
gone,161
secretly,6
paris,38
mademoiselle,141
george,20
house,389
bonaparte,79
enjoyed,18
actress,4
favors,5
presence,121
napoleon,470
happened,167
fall,74
fainting,2
fits,8
subject,84
thus,27
ducs,1
mercy,33
latter,69
spared,2
subsequently,11
repaid,1
death,178
rivals,4
recognized,61
ladies,88
agitated,49
inquiring,18
sticking,7
needle,4
testify,1
fascination,2
appreciated,13
praise,11
gratefully,9
prepared,79
continue,22
watchful,1
eye,54
noticed,179
loudly,36
vehemently,2
hurried,29
rescue,8
managed,36
balance,12
power,203
interested,33
mans,105
simpleminded,2
eagerness,5
pet,11
theory,34
listening,85
eagerly,31
naturally,22
disapproved,3
rights,16
saying,233
powerful,20
nation,27
russiabarbaric,1
beto,1
disinterestedly,2
alliance,18
object,49
maintenance,3
beginning,89
severely,19
italian,25
russian,452
climate,3
italians,6
instantly,22
changed,96
offensively,2
sugary,1
conversing,13
women,139
enchanted,7
brilliancy,1
wit,4
culture,16
feminine,14
letting,38
escape,36
conveniently,1
keep,83
observation,22
larger,16
andrew,1039
handsome,108
medium,10
height,22
firm,46
clearcut,1
weary,33
bored,5
measured,10
step,80
offered,48
striking,24
contrast,14
tiresome,6
among,216
tedious,1
distorted,15
screwing,10
scanned,8
kutzov,445
stressing,2
syllable,5
generals,116
frenchman,95
ashamed,57
deprive,11
andr,2
coquettish,5
manner,61
telling,66
screwed,14
watched,44
glad,129
affectionate,20
expressing,26
annoyance,12
whoever,9
touching,36
pierres,167
beaming,19
kind,141
great,262
supper,55
low,71
disturb,6
continuing,15
impossible,176
laughing,95
pressing,39
need,108
let,376
pass,83
excuse,30
holding,120
sleeve,19
friendly,30
prevent,26
rising,58
unfortunate,21
deprives,3
obliges,1
interrupt,5
sorry,65
leave,209
enchanting,17
party,70
chairs,23
shone,33
radiantly,4
gazed,87
rapturous,21
passing,84
seized,81
educate,1
month,32
connection,39
hurriedly,68
overtook,13
anteroom,35
affectation,11
kindly,60
tearworn,3
bors,290
hurrying,18
remain,77
boy,128
although,11
listened,136
reluctantly,16
politely,11
ingratiating,4
appealing,1
transferred,29
guards,94
difficult,83
advise,8
appeal,14
rumyntsev,8
goltsyn,6
drubetskya,9
belonging,15
long,512
lost,139
former,120
influential,3
connections,13
procure,5
appointment,18
solely,12
obtained,22
invitation,14
vicomtes,2
embittered,4
clutched,8
tightly,3
anything,293
reminded,22
friendship,37
entreat,4
gods,50
sake,84
sonand,1
regard,62
benefactor,23
angry,107
promise,32
kindhearted,7
tears,166
papa,49
classically,1
molded,1
shoulder,58
door,330
influence,42
however,100
capital,43
economized,1
realized,43
begged,25
chary,1
using,16
drubetskyas,1
qualms,1
conscience,18
indebted,2
career,17
moreover,16
womenmostly,1
motherswho,1
minds,17
until,22
gained,25
end,185
insisting,7
hour,67
make,276
scenes,4
consideration,12
mikhylovna,119
weariness,10
prove,42
impossibleyour,1
satisfied,34
expected,87
youi,4
kindness,8
waitjust,1
faltered,5
michael,53
ilarinovich,6
recommend,2
adjutant,157
wont,147
pestered,1
commander,287
conspired,2
sons,57
adjutants,43
au,18
revoir,11
goodby,54
tomorrow,97
cried,210
probably,78
illsuited,3
apparently,40
forgotten,47
employed,15
arts,1
artificial,14
pretended,15
till,173
task,18
accomplished,19
latest,13
comedy,3
coronation,3
milan,1
laying,8
petitions,4
throne,10
granting,1
nations,39
adorable,2
enough,60
whirl,5
crazy,6
straight,103
sarcastic,10
dieu,12
donne,1
gare,1
qui,8
touche,1
fine,120
remarked,92
dio,1
mi,1
lha,1
dato,1
guai,1
chi,1
tocchi,1
touches,1
beware,3
drop,20
glass,71
run,100
sovereigns,19
able,107
endure,19
menace,3
polite,15
hopeless,9
queen,9
elizabeth,2
reaping,3
reward,20
betrayal,2
bourbon,1
cause,146
sending,19
compliment,4
usurper,3
sighing,13
disdainfully,6
position,292
gazing,60
completely,42
tracing,1
cond,3
explained,42
gravity,12
bton,1
gueules,2
engrl,1
dazurmaison,1
remains,21
france,41
air,135
matter,167
acquainted,18
far,169
intrigues,14
violence,9
exile,7
executions,5
societyi,1
societywill,1
forever,33
destroyed,56
shrugged,26
remark,33
interrupted,94
alexander,115
accompanied,44
imperial,23
themselves,199
choose,26
government,61
free,154
throw,26
itself,157
rightful,2
concluded,42
royalist,1
emigrant,2
doubtful,6
rightly,4
supposes,1
already,326
regime,2
blushing,28
breaking,25
aristocracy,3
bonapartes,14
side,297
buonapartists,1
real,71
state,144
public,33
opinion,93
aiming,5
remarks,39
path,72
glory,40
follow,40
silence,105
quoting,3
napoleons,100
opened,116
antechambers,1
crowded,40
partial,2
ceased,52
hero,32
martyr,1
heaven,46
appreciation,3
epigram,2
broke,51
inappropriate,1
stop,71
execution,16
necessity,51
seems,85
greatness,21
fearing,14
responsibility,24
deed,22
mon,51
muttered,69
terrified,12
whisper,45
consider,67
assassination,1
shows,15
exclaimed,84
several,188
voices,142
slapping,4
palm,7
merely,131
solemnly,10
desperately,9
bourbons,7
fled,20
leaving,81
anarchy,1
quelled,1
suggested,31
heeding,8
eager,30
superior,21
suppressed,12
abuses,2
preserved,3
itequality,1
citizenship,3
freedom,111
pressand,1
availing,8
commit,12
restored,11
grand,57
desperate,17
provocative,2
proposition,4
extreme,13
youth,44
regicide,3
repeated,144
rousseaus,2
contrat,3
tolerant,1
ideas,42
robbery,7
interjected,2
ironical,11
extremes,1
important,129
emancipation,2
prejudices,1
equality,13
retained,9
liberty,15
contemptuously,17
deciding,6
seriously,34
foolish,12
highsounding,1
discredited,2
love,441
saviour,6
preached,5
happier,12
amused,24
outburst,8
experience,41
horrorstruck,2
sacrilegious,1
exasperated,4
convinced,53
rallied,4
forces,86
vigorous,10
orator,3
executing,5
ducor,1
ordinary,33
whois,1
innocent,15
untried,1
explains,7
th,15
brumaire,2
imposture,1
swindle,1
conduct,14
prisoners,117
africa,8
horrible,11
hes,107
knowing,85
unlike,13
halfsmile,1
grave,15
gloomy,33
instantaneously,3
replaced,16
anothera,1
childlike,24
silly,9
forgiveness,13
meeting,93
jacobin,1
expect,47
besides,111
statesman,2
distinguish,22
acts,9
private,27
course,123
chimed,8
reinforcement,1
admit,43
bridge,133
arcola,3
hospital,30
jaffa,1
plaguestricken,1
justify,13
awkwardness,9
sign,45
started,56
making,107
signs,20
vicomtei,1
emphatically,2
demand,31
attention,118
une,6
dame,2
footmen,29
behind,311
carriage,117
taste,12
ladys,9
collecting,10
difficulty,46
livery,2
calls,12
spluttered,3
unfavorable,2
persons,34
wind,33
hat,48
contain,5
gasps,1
laughter,69
hippolytes,4
agreeably,4
ending,8
unamiable,1
insignificant,27
balls,44
theatricals,4
thanked,17
soiree,5
ungainly,3
average,1
huge,38
red,108
particularly,87
agreeable,26
absentminded,14
threecornered,2
held,142
pulling,22
plume,4
restore,7
absentmindedness,8
inability,2
converse,5
redeemed,2
simple,66
modest,7
christian,11
mildness,4
indiscretion,2
nodded,41
change,83
opinions,22
everybody,112
unless,16
goodnatured,30
including,15
hall,53
helping,10
cloak,53
indifferently,5
wifes,45
chatter,7
stared,17
fixedly,15
eyeglass,1
catch,26
match,25
contemplated,1
sisterinlaw,12
write,61
looks,73
bending,25
shawl,20
finish,44
sentences,6
meaningless,18
understanding,67
wishing,63
appear,53
laugh,59
downy,8
joyfully,37
snatching,6
pushed,54
aside,60
wrapping,2
intentionally,4
adjusted,9
embracing,10
gracefully,5
andrews,96
sleepy,16
seem,82
past,172
reached,145
heels,17
stumbling,8
porch,87
following,73
princesse,2
tongue,25
picking,8
saber,41
pretense,7
everyones,7
allow,57
sir,69
disagreeable,11
blocking,13
gently,20
affectionately,9
postilion,3
wheels,36
rattled,8
laughed,77
spasmodically,3
home,172
cher,25
nice,42
indeed,33
tips,6
fingers,59
chap,2
airs,2
pity,63
officer,410
gives,22
equal,28
deal,34
reaching,32
study,112
shelf,1
caesars,3
commentaries,1
resting,19
elbow,26
reading,83
middle,78
mlle,1
rubbing,15
creak,9
waved,22
light,141
possible,170
buti,1
abstract,9
everywhere,48
thinks,19
guardsman,5
diplomatist,7
momentary,10
tucked,10
decide,19
expects,5
tutor,15
remained,178
twenty,55
dismissed,9
profession,3
agree,49
letter,230
money,127
choosing,7
months,35
rubbed,14
forehead,46
freemason,6
referring,13
met,155
nonsense,80
business,99
horse,286
against,223
greatest,41
childish,23
finds,15
nave,25
fought,38
except,70
conviction,28
wars,31
ironically,15
likely,16
leading,45
womans,20
shook,51
waking,17
removed,37
gown,46
fresh,94
elegant,7
settling,10
briskly,16
fussily,1
argumentative,1
arguing,8
embarrassment,17
commonly,1
shown,58
intercourse,5
touched,57
live,91
judge,28
uncles,23
aprksins,2
easily,43
noticing,56
starting,22
spoken,55
petulantly,1
playful,5
plainly,30
member,18
remembered,102
associations,3
broken,57
im,105
shudder,8
surprised,59
notice,69
someone,123
addressed,61
frigid,3
egotists,2
whim,3
goodness,26
knows,85
leaves,21
locks,5
remember,124
querulous,4
drawn,65
giving,107
joyful,48
animal,33
squirrellike,2
indecorous,1
pregnancy,3
gist,3
blushed,46
despair,31
doctor,123
tells,15
bed,118
earlier,8
quivered,15
walked,69
surprise,85
rise,26
tearful,5
entreaty,8
threat,3
above,146
regret,19
ago,74
beg,40
desist,1
growing,64
cry,95
assure,13
experienced,86
outsider,1
distress,14
caught,57
restraining,6
dryly,4
pitch,5
indicates,3
patience,18
exhausted,30
winning,9
piteous,12
askance,3
husbands,30
timid,25
deprecating,1
dog,41
rapidly,95
feebly,7
wags,2
drooping,13
tail,26
lifting,32
night,218
kissing,36
stranger,36
continually,79
sigh,33
newly,22
decorated,3
luxurious,6
dining,25
napkins,1
china,9
imprint,1
newness,1
households,4
halfway,14
leaned,32
elbows,21
nervous,16
agitation,41
talkas,1
determines,1
marry,82
advice,30
capable,18
irrevocable,4
mistake,28
nothingor,1
wasted,9
trifles,14
future,76
ranged,3
lackey,4
idiot,6
whats,67
different,144
apparent,12
amazement,9
excellent,32
rare,12
safe,12
o,46
unmarried,7
mention,29
lolled,2
halfclosed,6
phrases,10
muscle,6
quivering,16
excitement,46
fire,196
extinguished,2
flashed,13
lifeless,10
impassioned,2
moments,59
morbid,2
irritation,10
worked,12
goal,18
aim,100
tie,5
chained,1
convict,4
lose,27
strength,118
weighs,3
torments,5
rooms,51
gossip,20
vanity,17
trivialitythese,1
fit,31
caustic,3
exist,32
selfish,3
vain,15
trivial,11
everythingthats,1
colors,4
theres,75
funny,14
incapable,7
highly,17
model,7
perfection,10
possessed,21
degree,19
qualities,20
lacked,11
described,31
treating,7
extensive,1
read,132
capacity,18
struck,94
philosophical,2
meditation,4
addicted,1
regarded,53
simplest,12
relations,67
commendation,3
essential,33
grease,2
smoothly,9
reassuring,2
reflected,29
relaxing,1
careless,12
merry,53
crimson,12
plain,67
effort,78
havent,26
idea,71
consult,6
glancefriendly,1
wasexpressed,1
superiority,12
youre,71
youll,66
visiting,9
kurgins,12
sort,57
suits,4
badlyall,1
debauchery,5
dissipation,4
comme,3
il,13
faut,4
wine,50
sharing,8
dissipated,5
planning,7
reform,10
happy,194
properly,10
aches,3
spends,1
oclock,65
cloudless,1
northern,1
summer,31
open,97
cab,5
intending,11
drive,51
impossibility,10
sleep,78
deserted,22
street,78
cards,42
generally,38
drinking,17
bout,1
finishing,17
visits,8
recalled,47
happens,55
passionately,19
enjoy,9
accustomed,43
account,69
gathering,11
conventional,3
definite,40
considers,9
dead,67
dishonor,2
indulged,1
reflections,15
nullifying,1
decisions,4
intentions,15
barracks,2
lived,74
lighted,13
ascended,10
stairs,16
empty,36
bottles,6
cloaks,9
overshoes,1
lying,80
smell,38
alcohol,1
sounds,86
shouting,103
distance,77
visitors,66
dispersed,14
threw,61
sly,11
glasses,20
familiar,59
growling,1
commotion,4
crowding,17
anxiously,13
window,112
romping,1
chain,9
bet,11
hundred,122
stevens,2
shouted,244
dlokhov,284
bruin,2
heres,16
draught,1
loses,5
fourth,29
jacob,1
bottle,40
host,14
tall,59
linen,12
shirt,41
unfastened,6
front,265
bit,53
fellows,43
ptya,245
clear,119
blue,71
drunken,16
sober,4
ring,22
bets,1
semnov,8
regiment,221
notorious,5
gambler,4
duelist,2
living,88
drunk,24
drink,41
drank,22
brows,27
tipsy,13
refilling,1
betting,1
naval,6
rum,12
outer,6
ledge,4
floor,49
hanging,32
pushing,30
englishmans,1
distinctly,25
curly,19
lightblue,5
twentyfive,6
infantry,81
officers,251
mustache,44
feature,3
lines,37
remarkably,5
finely,2
curved,4
sharp,18
wedge,1
firmly,46
distinct,11
smiles,16
corners,12
together,139
resolute,35
insolent,8
intelligence,10
spent,88
tens,8
thousands,45
footing,6
respected,20
play,56
games,6
nearly,57
won,14
clearheadedness,1
rakes,3
scapegraces,1
frame,23
sill,11
forced,26
flurried,3
intimidated,4
directions,21
shouts,50
gentlemen,75
swaggering,1
strode,6
smash,3
tugged,6
move,84
smashed,7
pane,1
